strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
CHL/AR-UFRO-0013/2021,8/7/21,,0.48,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146067,,Chile,202131,Homo sapiens,Leyton-Carcaman et al N,,,,
CHL/AR-UFRO-0012/2021,8/7/21,,0.48,10,Chile,Older,P.1.15,,South America,"20J (Gamma, V3)",OM146066,,Chile,202131,Homo sapiens,Leyton-Carcaman et al O,,,,
PER/covper061/2020,3/24/20,,0.03,1,Peru,Older,B.1.1.372,,South America,20B,MW030201,,Peru,202013,Homo sapiens,Juscamayta et al Z,,,,
England/ALDP-94E489/2020,6/18/20,,0.08,2,United Kingdom,Older,B.1.1.369,,Europe,20B,OA976974,,England,202025,Homo sapiens,Wynn et al A,,Wellcome Sanger Institute,Lighthouse Lab in Alderley Park,
England/LEED-2A885B/2020,3/25/20,,0.02,2,United Kingdom,Older,B.1.1.372,,Europe,20B,OA971794,,England,202013,Homo sapiens,Macfarlane-Smith et al,,Wellcome Sanger Institute,"Leeds Teaching Hospitals NHS Trust and Public Health England, National Infection Service (Leeds laboratory)",
EGY/CUNCI-HGC9I010/2020,12/26/20,,0.05,1,Egypt,Older,B.1.1.1,,Africa,20B,MW497104,,Egypt,202052,Homo sapiens,Zekri et al G,,,,
PER/covper051/2020,4/2/20,,0.03,2,Peru,Older,B.1,,South America,20B,MW030195,,Peru,202014,Homo sapiens,Juscamayta et al AA,,,,
PER/covper028/2020,5/3/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MW030259,,Peru,202018,Homo sapiens,Juscamayta et al AB,,,,
PER/covper037/2020,5/5/20,,0.03,1,Peru,Older,C.25,,South America,20D,MW030268,,Peru,202019,Homo sapiens,Juscamayta et al AC,,,,
PER/covper046/2020,5/6/20,,0.01,2,Peru,Older,C.25,,South America,20D,MW030277,,Peru,202019,Homo sapiens,Juscamayta et al AD,,,,
PER/covper047/2020,5/7/20,,0.04,1,Peru,Older,C.13,,South America,20D,MW030278,,Peru,202019,Homo sapiens,Juscamayta et al AE,,,,
PER/covper011/2020,7/5/20,,0.12,1,Peru,Older,C.13,,South America,20D,MW030242,,Peru,202027,Homo sapiens,Juscamayta et al AF,,,,
SRB/UE0020-07-04/2020,4/7/20,,0.04,1,Serbia,Older,C.35,,Europe,20D,MW266956,,Serbia,202015,Homo sapiens,Vidanovic et al B,,,,
NZL/20VR3879/2020,7/24/20,,0.04,1,New Zealand,Older,C.35,,Oceania,20D,OK426767,,Auckland,202030,Homo sapiens,Ren et al BN,,Institute of Environmental Science and Research,Middlemore Hospital,
SRB/NS21072-25-06/2020,6/25/20,,0.03,1,Serbia,Older,C.35,,Europe,20D,MW327518,,South Bačka District,202026,Homo sapiens,Vidanovic et al C,,,,
SRB/KM04398-09-12/2020,12/10/20,,0.04,1,Kosovo,Older,C.35,,Europe,20D,MW548720,,Mitrovica,202050,Homo sapiens,Vidanovic et al D,,,,
PER/CoV-19_HRL-239/2020,4/11/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW185826,,Lambayeque,202015,Homo sapiens,Aguilar Gamboa et al A,,,,
PER/covper049/2020,4/2/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW030193,,Peru,202014,Homo sapiens,Juscamayta et al AG,,,,
PER/covper093/2020,4/2/20,,0.03,1,Peru,Older,C.14,,South America,20D,MW030229,,Peru,202014,Homo sapiens,Juscamayta et al AH,,,,
PER/covper050/2020,4/2/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW030194,,Peru,202014,Homo sapiens,Juscamayta et al AI,,,,
PER/covper043/2020,5/6/20,,0.03,1,Peru,Older,C.14,,South America,20D,MW030274,,Peru,202019,Homo sapiens,Juscamayta et al AJ,,,,
PER/CoV-19_HRL-235/2020,4/13/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW185827,,Lambayeque,202016,Homo sapiens,Aguilar Gamboa et al B,,,,
PER/CoV-19_HRL-224/2020,4/11/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW185823,,Lambayeque,202015,Homo sapiens,Aguilar Gamboa et al C,,,,
PER/CoV-19_HRL-223/2020,4/9/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW185824,,Lambayeque,202015,Homo sapiens,Aguilar Gamboa et al D,,,,
PER/CoV-19_HRL-187/2020,4/8/20,,0.05,1,Peru,Older,C.14,,South America,20D,MW185825,,Lambayeque,202015,Homo sapiens,Aguilar Gamboa et al E,,,,
PER/covper007/2020,7/1/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW030238,,Peru,202027,Homo sapiens,Juscamayta et al AK,,,,
PER/covper005/2020,7/2/20,,0.05,1,Peru,Older,C.14,,South America,20D,MW030236,,Peru,202027,Homo sapiens,Juscamayta et al AL,,,,
PER/covper026/2020,5/3/20,,0.03,1,Peru,Older,C.14,,South America,20D,MW030257,,Peru,202018,Homo sapiens,Juscamayta et al AM,,,,
PER/covper036/2020,5/5/20,,0.02,1,Peru,Older,C.14,,South America,20D,MW030267,,Peru,202019,Homo sapiens,Juscamayta et al AN,,,,
PER/covper027/2020,5/3/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW030258,,Peru,202018,Homo sapiens,Juscamayta et al AO,,,,
PER/covper033/2020,5/5/20,,0.04,1,Peru,Older,C.14,,South America,20D,MW030264,,Peru,202019,Homo sapiens,Juscamayta et al AP,,,,
PER/covper054/2020,3/19/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW030197,,Peru,202012,Homo sapiens,Juscamayta et al AQ,,,,
CHE/C153/2020,4/17/20,,0.04,1,Switzerland,Older,B.1.1.1,,Europe,20D,ON209742,,Switzerland,202016,Homo sapiens,Abbas et al A,,,,
PER/cov001/2020,4/2/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW023935,,Peru,202014,Homo sapiens,Juscamayta et al AR,,,,
PER/covper001/2020,7/4/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW030232,,Peru,202027,Homo sapiens,Juscamayta et al AS,,,,
AUS/VIC1895/2020,6/1/20,,0.1,1,Australia,Older,C.14,,Oceania,20D,MT745635,,Victoria,202023,Homo sapiens,Caly et al S,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
ARG/210615-23/2021,6/15/21,,0.51,7,Argentina,Older,C.37,,South America,21G (Lambda),OL989096,,Argentina,202124,Homo sapiens,Zhao et al F,,,,
Feliscatus/PER/UPCH_sc2_cat1/2021,3/27/21,,0.48,7,Peru,Older,C.37,,South America,21G (Lambda),MZ496614,,Peru,202112,Felis catus,Schiaffino et al A,,,,
Feliscatus/PER/UPCH_sc2_cat2/2021,3/27/21,,0.48,7,Peru,Older,C.37,,South America,21G (Lambda),MZ496613,,Peru,202112,Felis catus,Schiaffino et al B,,,,
PER/CF00802-SW-V0201/2021,8/5/21,,0.49,6,Peru,Older,C.37,,South America,21G (Lambda),OL622104,,Peru,202131,Homo sapiens,Woodard et al A,,,,
PER/CF00800-SW-V0101/2021,8/5/21,,0.51,6,Peru,Older,C.37,,South America,21G (Lambda),OL682022,,Peru,202131,Homo sapiens,Woodard et al B,,,,
CHL/AR-UFRO-0002/2021,8/7/21,,0.48,7,Chile,Older,C.37,,South America,21G (Lambda),OM146075,,Chile,202131,Homo sapiens,Leyton-Carcaman et al P,,,,
CHL/AR-UFRO-0006/2021,8/7/21,,0.49,7,Chile,Older,C.37,,South America,21G (Lambda),OM146079,,Chile,202131,Homo sapiens,Leyton-Carcaman et al Q,,,,
PER/CF01700-SW-V0101/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623674,,Peru,202131,Homo sapiens,Woodard et al C,,,,
PER/CF01702-SW-V0201/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623678,,Peru,202131,Homo sapiens,Woodard et al D,,,,
Feliscatus/PER/UPCH_sc2_cat3/2021,5/3/21,,0.49,7,Peru,Older,C.37,,South America,21G (Lambda),MZ496616,,Peru,202118,Felis catus,Schiaffino et al C,,,,
PER/CF02100-SW-V0101/2021,8/5/21,,0.5,5,Peru,Older,C.37,,South America,21G (Lambda),OL622097,,Peru,202131,Homo sapiens,Woodard et al E,,,,
PER/un-CDC-4051687-001/2021,2/11/21,,0.5,8,Peru,Older,C.37,,South America,21G (Lambda),MW938100,,Peru,202106,Homo sapiens,Li et al H,,,,
PER/un-CDC-4051688-001/2021,2/17/21,,0.5,8,Peru,Older,C.37,,South America,21G (Lambda),MW938101,,Peru,202107,Homo sapiens,Li et al I,,,,
PER/UPCH_cov0431/2021,2/3/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275288,,Peru,202105,Homo sapiens,Romero et al A,,Universidad Peruana Cayetano Heredia,"Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru",
PER/un-CDC-4051672-001/2021,1/23/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MW938092,,Peru,202103,Homo sapiens,Li et al J,,,,
PER/UPCH_cov0459/2021,3/12/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275294,,Peru,202110,Homo sapiens,Romero et al B,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/CF01402-SW-V0201/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623728,,Peru,202131,Homo sapiens,Woodard et al F,,,,
PER/CF00100-SW-V0101/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623733,,Peru,202131,Homo sapiens,Woodard et al G,,,,
PER/CF00102-SW-V0201/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL682020,,Peru,202131,Homo sapiens,Woodard et al H,,,,
PER/un-CDC-4051677-001/2021,1/21/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),MW938095,,Peru,202103,Homo sapiens,Li et al K,,,,
PER/UPCH_cov0460/2021,2/18/21,,0.52,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275295,,Peru,202107,Homo sapiens,Romero et al C,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0467/2021,3/11/21,,0.48,8,Peru,Older,C.37,,South America,21G (Lambda),MZ275300,,Peru,202110,Homo sapiens,Romero et al D,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0468/2021,3/9/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275301,,Peru,202110,Homo sapiens,Romero et al E,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0372/2021,1/2/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275287,,Peru,202053,Homo sapiens,Romero et al F,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/un-CDC-4051671-001/2021,1/21/21,,0.51,8,Peru,Older,C.37,,South America,21G (Lambda),MW938091,,Peru,202103,Homo sapiens,Li et al L,,,,
PER/un-CDC-4051679-001/2021,1/31/21,,0.5,8,Peru,Older,C.37,,South America,21G (Lambda),MW938097,,Peru,202104,Homo sapiens,Li et al M,,,,
PER/UPCH_cov0461/2021,2/27/21,,0.54,8,Peru,Older,C.37,,South America,21G (Lambda),MZ275296,,Peru,202108,Homo sapiens,Romero et al G,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0464/2021,3/14/21,,0.51,8,Peru,Older,C.37,,South America,21G (Lambda),MZ275299,,Peru,202110,Homo sapiens,Romero et al H,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/un-CDC-4051674-001/2021,1/23/21,,0.51,8,Peru,Older,C.37,,South America,21G (Lambda),MW938094,,Peru,202103,Homo sapiens,Li et al N,,,,
PER/un-CDC-4051678-001/2021,1/30/21,,0.51,8,Peru,Older,C.37,,South America,21G (Lambda),MW938096,,Peru,202104,Homo sapiens,Li et al O,,,,
PER/UPCH_cov0449/2021,3/2/21,,0.51,9,Peru,Older,C.37,,South America,21G (Lambda),MZ275292,,Peru,202109,Homo sapiens,Romero et al I,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0463/2021,3/4/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275298,,Peru,202109,Homo sapiens,Romero et al J,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0462/2021,3/9/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275297,,Peru,202110,Homo sapiens,Romero et al K,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/un-CDC-4051673-001/2021,1/23/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MW938093,,Peru,202103,Homo sapiens,Li et al P,,,,
PER/UPCH_cov0446/2021,2/14/21,,0.53,8,Peru,Older,C.37,,South America,21G (Lambda),MZ275291,,Peru,202106,Homo sapiens,Romero et al L,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0434/2021,1/31/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275289,,Peru,202104,Homo sapiens,Romero et al M,,Universidad Peruana Cayetano Heredia,"Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru",
PER/CF00402-SW-V0201/2021,8/5/21,,0.53,7,Peru,Older,C.37,,South America,21G (Lambda),OL622101,,Peru,202131,Homo sapiens,Woodard et al I,,,,
PER/CF00400-SW-V0101/2021,8/5/21,,0.53,7,Peru,Older,C.37,,South America,21G (Lambda),OL623732,,Peru,202131,Homo sapiens,Woodard et al J,,,,
PER/CF00200-SW-V0101/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL622102,,Peru,202131,Homo sapiens,Woodard et al K,,,,
PER/CF00201-SW-V0301/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL682021,,Peru,202131,Homo sapiens,Woodard et al L,,,,
PER/CF00201-SW-V0401/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623705,,Peru,202131,Homo sapiens,Woodard et al M,,,,
PER/CF00201-SW-V0201/2021,8/5/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),OL623729,,Peru,202131,Homo sapiens,Woodard et al N,,,,
PER/UPCH_cov0470/2021,3/18/21,,0.5,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275302,,Peru,202111,Homo sapiens,Romero et al N,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0452/2021,2/14/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275293,,Peru,202106,Homo sapiens,Romero et al O,,Universidad Peruana Cayetano Heredia,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",
PER/UPCH_cov0438/2021,1/31/21,,0.48,7,Peru,Older,C.37,,South America,21G (Lambda),MZ275290,,Peru,202104,Homo sapiens,Romero et al P,,Universidad Peruana Cayetano Heredia,"Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru",
Peru/PE-LMA-UW21070382842/2021,7/4/21,,0.49,7,Peru,Older,C.37,,South America,21G (Lambda),ON080881,,Peru,202126,Homo sapiens,Roychoudhury et al F,,,,
Chile/CL-RM-UW21071349152/2021,7/14/21,,0.49,8,Chile,Older,C.37,,South America,21G (Lambda),ON080877,,Chile,202128,Homo sapiens,Roychoudhury et al G,,,,
PER/un-CDC-4051692-001/2021,2/21/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),MW938103,,Peru,202107,Homo sapiens,Li et al Q,,,,
PER/CF00700-SW-V0101/2021,8/5/21,,0.48,7,Peru,Older,C.37,,South America,21G (Lambda),OL622098,,Peru,202131,Homo sapiens,Woodard et al O,,,,
PER/CF02000-SW-V0101/2021,8/5/21,,0.44,5,Peru,Older,C.37,,South America,21G (Lambda),OL682019,,Peru,202131,Homo sapiens,Woodard et al P,,,,
PER/CF01201-SW-V0201/2021,8/5/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),OL622099,,Peru,202131,Homo sapiens,Woodard et al Q,,,,
PER/CF01201-SW-V0301/2021,8/5/21,,0.51,7,Peru,Older,C.37,,South America,21G (Lambda),OL623819,,Peru,202131,Homo sapiens,Woodard et al R,,,,
EGY/PHARCO-ARMY36/2021,3/14/21,,0.24,3,Egypt,Older,C.36,,Africa,20D,MW831562,,Egypt,202110,Homo sapiens,Helmy et al B,,,,
EGY/Egypt-Army-Thirdwave-315/2021,4/26/21,,0.34,4,Egypt,Older,C.17,,Africa,20D,MZ087806,,Egypt,202117,Homo sapiens,Seadawy et al G,,,,
EGY/CCHE57357_Wave_3_A041/2021,3/21/21,,0.33,3,Egypt,Older,C.17,,Africa,20D,MZ380268,,Egypt,202111,Homo sapiens,Hatem et al G,,,,
LKA/KDU9116/2021,4/27/21,,0.39,3,Sri Lanka,Older,C.17,,Asia,20D,MZ801830,,Sri Lanka,202117,Homo sapiens,Jayasinghearachchi et al,,,,
EGY/Egypt-Army-Thirdwave-335/2021,4/26/21,,0.42,5,Egypt,Older,C.36.3,,Africa,20D,MZ087824,,Egypt,202117,Homo sapiens,Seadawy et al H,,,,
EGY/CCHE57357_Wave_3_A004/2021,5/2/21,,0.47,4,Egypt,Older,C.36.3,,Africa,20D,MZ380245,,Egypt,202117,Homo sapiens,Hatem et al H,,,,
EGY/CCHE57357_Wave_3_A068/2021,5/15/21,,0.47,5,Egypt,Older,C.36.3,,Africa,20D,MZ380285,,Egypt,202119,Homo sapiens,Hatem et al I,,,,
EGY/CUNCI-HGC6I002/2020,6/3/20,,0.08,2,Egypt,Older,C.36,,Africa,20D,MT614349,,Egypt,202023,Homo sapiens,Zekri et al H,,,,
EGY/CUNCI-HGC12I014/2021,1/10/21,,0.11,3,Egypt,Older,C.36,,Africa,20D,MW533290,,Egypt,202101,Homo sapiens,Zekri et al I,,,,
EGY/PHARCO-ARMY26/2021,2/10/21,,0.07,3,Egypt,Older,C.36,,Africa,20D,MW829327,,Egypt,202106,Homo sapiens,Helmy et al C,,,,
EGY/EGY-ARMY-MCL003/2020,11/20/20,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW547414,,Egypt,202047,Homo sapiens,Seadawy et al I,,,,
EGY/EGY-ARMY-MCL009/2020,11/20/20,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW547418,,Egypt,202047,Homo sapiens,Seadawy et al J,,,,
EGY/EGY-ARMY-MCL002/2020,11/20/20,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW547413,,Egypt,202047,Homo sapiens,Seadawy et al K,,,,
EGY/PHARCO-ARMY33/2021,2/10/21,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW829334,,Egypt,202106,Homo sapiens,Helmy et al D,,,,
EGY/PHARCO-ARMY002/2021,2/10/21,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW820212,,Egypt,202106,Homo sapiens,Helmy et al E,,,,
EGY/PHARCO-ARMY15/2021,1/28/21,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW827595,,Egypt,202104,Homo sapiens,Helmy et al F,,,,
EGY/PHARCO-ARMY96/2021,3/2/21,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW828625,,Egypt,202109,Homo sapiens,Helmy et al G,,,,
EGY/PHARCO-ARMY93/2021,3/2/21,,0.08,2,Egypt,Older,C.36,,Africa,20D,MW828622,,Egypt,202109,Homo sapiens,Helmy et al H,,,,
SouthAfrica/NHLS-UCT-LA-9011/2020,3/22/20,,0.04,1,South Africa,Older,B.1.1.1,,Africa,20D,OM766142,,South Africa,202012,Homo sapiens,Viana et al X,,,,
PRY/WOR12903A609_202103267_2-4710520/2020,3/23/20,,0.04,1,Paraguay,Older,B.1.1.1,,South America,20D,ON017184,,Paraguay,202013,Homo sapiens,Vazquez et al EE,,,,
SouthAfrica/NHLS-UCT-GS-0046/2020,3/23/20,,0.04,1,South Africa,Older,B.1.1.1,,Africa,20D,OM725339,,South Africa,202013,Homo sapiens,Tegally et al R,,,,
UGA/MUWRP-JIN200233/2020,9/3/20,,0.04,1,Uganda,Older,B.1.1.1,,Africa,20D,OM811370,,Uganda,202036,Homo sapiens,Byarugaba et al O,,,,
KEN/SS2911/2021,1/12/21,,0.18,1,Kenya,Older,C.14,,Africa,20D,OL548960,,Kenya,202102,Homo sapiens,Githinji et al AM,,,,
PER/un-CDC-4033267-001/2020,9/16/20,,0.02,2,Peru,Older,B.1.1.1,,South America,20D,MZ323732,,Peru,202038,Homo sapiens,Kelleher et al A,,,,
USA/IL-UW-1481/2020,9/16/20,,0.04,1,USA,Older,C.31,,North America,20D,MW031048,,Illinois,202038,Homo sapiens,Moreno et al H,,,,
PER/un-CDC-3958462-001/2020,8/16/20,,0.01,1,Peru,Older,B.1.1.1,,South America,20D,MZ323726,,Peru,202033,Homo sapiens,Kelleher et al B,,,,
PER/un-CDC-3959175-001/2020,8/22/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MZ323731,,Peru,202034,Homo sapiens,Kelleher et al C,,,,
PER/un-CDC-3958043-001/2020,8/21/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MZ323729,,Peru,202034,Homo sapiens,Kelleher et al D,,,,
CHL/Santiago-5120614/2020,6/9/20,,0.03,1,Chile,Older,C.26,,South America,20D,MW672139,,Chile,202024,Homo sapiens,Barriga et al L,,,,
DJI/NAMRU3_E106/2020,7/26/20,,0.03,1,Djibouti,Older,B.1.1.1,,Africa,20D,OK018272,,Djibouti,202030,Homo sapiens,Arnold et al AL,,,,
USA/CA-QDX-2792/2020,12/27/20,,0.02,1,USA,Older,C.23,,North America,20D,MW460599,,California,202052,Homo sapiens,Rosenthal et al AN,,Quest Diagnostics,Quest Diagnostics,
PER/covper029/2020,5/3/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW030260,,Peru,202018,Homo sapiens,Juscamayta et al AT,,,,
PER/un-CDC-4033329-001/2020,10/6/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MZ323733,,Peru,202041,Homo sapiens,Kelleher et al E,,,,
PER/un-CDC-4033364-001/2020,10/16/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MZ323735,,Peru,202042,Homo sapiens,Kelleher et al F,,,,
PER/covper031/2020,5/5/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MW030262,,Peru,202019,Homo sapiens,Juscamayta et al AU,,,,
PER/covper042/2020,5/5/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW030273,,Peru,202019,Homo sapiens,Juscamayta et al AV,,,,
PER/covper016/2020,7/4/20,,0.05,2,Peru,Older,C.32,,South America,20D,MW030247,,Peru,202027,Homo sapiens,Juscamayta et al AW,,,,
PER/covper021/2020,7/2/20,,0.04,1,Peru,Older,C.32,,South America,20D,MW030252,,Peru,202027,Homo sapiens,Juscamayta et al AX,,,,
PER/covper017/2020,7/5/20,,0.03,1,Peru,Older,C.32,,South America,20D,MW030248,,Peru,202027,Homo sapiens,Juscamayta et al AY,,,,
PER/covper018/2020,7/4/20,,0.04,1,Peru,Older,C.4,,South America,20D,MW030249,,Peru,202027,Homo sapiens,Juscamayta et al AZ,,,,
PER/un-CDC-3958226-001/2020,8/19/20,,0.04,1,Peru,Older,C.4,,South America,20D,MZ323727,,Peru,202034,Homo sapiens,Kelleher et al G,,,,
PER/un-CDC-4051668-001/2021,1/19/21,,0.1,3,Peru,Older,C.4,,South America,20D,MW938089,,Peru,202103,Homo sapiens,Li et al R,,,,
PER/un-CDC-4051669-001/2021,1/19/21,,0.1,3,Peru,Older,C.4,,South America,20D,MW938090,,Peru,202103,Homo sapiens,Li et al S,,,,
PER/un-CDC-4051681-001/2021,2/3/21,,0.03,2,Peru,Older,C.4,,South America,20D,MW938098,,Peru,202105,Homo sapiens,Li et al T,,,,
PER/un-CDC-4051683-001/2021,2/10/21,,0.03,2,Peru,Older,C.4,,South America,20D,MW938099,,Peru,202106,Homo sapiens,Li et al U,,,,
PER/covper019/2020,7/4/20,,0.03,1,Peru,Older,B.1.1.1,,South America,20D,MW030250,,Peru,202027,Homo sapiens,Juscamayta et al BA,,,,
PER/covper004/2020,7/2/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MW030235,,Peru,202027,Homo sapiens,Juscamayta et al BB,,,,
PER/un-CDC-3958735-001/2020,9/11/20,,0.04,1,Peru,Older,B.1.1.1,,South America,20D,MZ323730,,Peru,202037,Homo sapiens,Kelleher et al H,,,,
TUN/TUN_ADAGE_14-17873/2020,10/15/20,,0.04,1,Tunisia,Older,B.1.1.1,,Africa,20D,MW452531,,Tunisia,202042,Homo sapiens,Souissi et al G,,,,
NZL/20CV0079/2020,8/15/20,,0.06,1,New Zealand,Older,C.12,,Oceania,20D,OK426613,,Canterbury,202033,Homo sapiens,Ren et al BO,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20VR3906/2020,8/13/20,,0.03,1,New Zealand,Older,C.12,,Oceania,20D,OK426708,,Auckland,202033,Homo sapiens,Ren et al BP,,Institute of Environmental Science and Research,Middlemore Hospital,
NZL/20CV0154/2020,8/25/20,,0.03,1,New Zealand,Older,C.12,,Oceania,20D,OK426491,,Auckland,202035,Homo sapiens,Ren et al BQ,,Institute of Environmental Science and Research,North Shore Hospital,
NZL/20CV0343/2020,9/8/20,,0.03,1,New Zealand,Older,C.12,,Oceania,20D,OK426638,,Auckland,202037,Homo sapiens,Ren et al BR,,Institute of Environmental Science and Research,LabPLUS,
NZL/20VR3919/2020,8/14/20,,0.04,1,New Zealand,Older,C.12,,Oceania,20D,OK426982,,Waikato,202033,Homo sapiens,Ren et al BS,,Institute of Environmental Science and Research,Waikato Hospital,
NZL/20VR3920/2020,8/14/20,,0.04,1,New Zealand,Older,C.12,,Oceania,20D,OK426621,,Waikato,202033,Homo sapiens,Ren et al BT,,Institute of Environmental Science and Research,Waikato Hospital,
NZL/20CV0118/2020,8/17/20,,0.04,1,New Zealand,Older,C.12,,Oceania,20D,OK427149,,Auckland,202034,Homo sapiens,Ren et al BU,,Institute of Environmental Science and Research,Middlemore Hospital,
NZL/20CV0217/2020,8/30/20,,0.04,1,New Zealand,Older,C.12,,Oceania,20D,OK426456,,Waikato,202035,Homo sapiens,Ren et al BV,,Institute of Environmental Science and Research,Waikato Hospital,
